title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_bedrooms,apartment_bathrooms,apartment_total_area,apartment_living_area,price_in_USD,image,url
1 room apartment,Georgia,"Batumi, Georgia",2026,,4,1,2,1,28.0,75.0,35622.0,https://realting.com/uploads/bigSlider/16f/406c7a33e86a7ca2f5285bf817e47.webp,https://realting.com/property-for-sale/georgia/flatiko-llc/1765932
apartment 1 bathroom -suscepan-trebes,Montenegro,"Herceg Novi, Montenegro",2023,,4,3,2,1,74.0,75.0,168881.0,https://realting.com/uploads/bigSlider/dd6/fa8ca136c5c1.webp,https://realting.com/property-for-sale/montenegro/red-feniks-montenegro/1333002
1 room apartment,Montenegro,"Sveti Stefan, Budva Municipality, Montenegro",2023,16,12,2,1,1,50.0,75.0,254404.0,https://realting.com/uploads/bigSlider/820/d3fabba126d2867aaba6a70a114d5.webp,https://realting.com/property-for-sale/montenegro/red-feniks-montenegro/1674799
apartment,Montenegro,Montenegro,2023,4,4,3,2,1,48.0,75.0,297706.0,https://realting.com/uploads/bigSlider/18c/290243e0f845686631520ca403956.webp,https://realting.com/property-for-sale/montenegro/red-feniks-montenegro/1687621
1 room apartment,Uzbekistan,"Chilanzar District, Uzbekistan",2023,4,1,2,1,1,36.0,75.0,72000.0,https://realting.com/uploads/bigSlider/188/e572e268f2da2b07aebfba8610d7a.webp,https://realting.com/uzbekistan/property/1768138
1 room apartment,Thailand,"Pattaya, Thailand",2023,8,6,1,2,1,25.0,75.0,42642.0,https://realting.com/uploads/bigSlider/d41/509389a6367c3874f38a2ae1ca934.webp,https://realting.com/property-for-sale/thailand/mezhdunarodnoe-agentstvo-nedvizhimosti-habita/1654716
1 room apartment,Thailand,"Pattaya, Thailand",2023,8,6,1,2,1,25.0,75.0,42642.0,https://realting.com/uploads/bigSlider/d41/509389a6367c3874f38a2ae1ca934.webp,https://realting.com/property-for-sale/thailand/mezhdunarodnoe-agentstvo-nedvizhimosti-habita/1674139
5 room apartment,Montenegro,"Podgorica Capital City, Montenegro",2023,,2,3,5,2,128.0,75.0,228147.0,https://realting.com/uploads/bigSlider/879/830a99c33c5b7.webp,https://realting.com/property-for-sale/montenegro/athos/852234
apartment,Turkey,"Central Anatolia Region, Turkey",2022,,4,3,2,1,100.0,75.0,304177.0,https://realting.com/uploads/bigSlider/909/2f9e68462f5d7c5c23d27ba0f2504.webp,https://realting.com/property-for-sale/turkey/stay-property/1638198
2 room apartment,Montenegro,"Bar, Bar Municipality, Montenegro",2023,,4,3,2,1,48.0,75.0,288036.0,https://realting.com/uploads/bigSlider/877/fad2272a68f.webp,https://realting.com/property-for-sale/montenegro/md-realty/298058
