title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_bedrooms,apartment_bathrooms,apartment_total_area,apartment_living_area,price_in_USD,image,url
"2 room apartment 120 m² in Mediterranean Region, Turkey",Turkey,"Mediterranean Region, Turkey",,5.0,1.0,3.0,2.0,2.0,120 m²,110 m²,315209.0,https://realting.com/uploads/bigSlider/ab3/888989d8c45280f0e1e17d633ee94.webp,https://realting.com/property-for-sale/turkey/inest-homes/1766770
"4 room villa 500 m² in Kalkan, Turkey",Turkey,"Kalkan, Mediterranean Region, Kas, Turkey",2021.0,2.0,,,,,500 m²,480 m²,1108667.0,https://realting.com/uploads/bigSlider/87b/67960b9229216decf200460d37dca.webp,https://realting.com/property-for-sale/turkey/inest-homes/1767446
"1 room apartment 65 m² in Antalya, Turkey",Turkey,"Mediterranean Region, Antalya, Turkey",,5.0,2.0,2.0,1.0,1.0,65 m²,60 m²,173211.0,https://realting.com/uploads/bigSlider/030/a115091710bbd90676afae0ffb1df.webp,https://realting.com/property-for-sale/turkey/fsbo/1766776
"1 room apartment  in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",2020.0,15.0,5.0,2.0,1.0,1.0,,40 m²,99900.0,https://realting.com/uploads/bigSlider/e9a/e061e09c8544dd3e449393b82e3b8.webp,https://realting.com/property-for-sale/thailand/alza-real-estate/1754337
"2 room apartment  in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",2026.0,8.0,3.0,3.0,2.0,1.0,,36 m²,67000.0,https://realting.com/uploads/bigSlider/453/aa2f3e8c7387dd5f91d4271ecc4e0.webp,https://realting.com/property-for-sale/thailand/alza-real-estate/1754327
"1 room apartment 28 m² in Batumi, Georgia",Georgia,"Abkhazia, Batumi, Georgia",2026.0,,,1.0,,1.0,28 m²,,35622.0,https://realting.com/uploads/bigSlider/16f/406c7a33e86a7ca2f5285bf817e47.webp,https://realting.com/property-for-sale/georgia/flatiko-llc/1765932
"4 room apartment 245 m² in Yesiloez, Turkey",Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",2007.0,2.0,3.0,5.0,4.0,4.0,245 m²,245 m²,274415.0,https://realting.com/uploads/bigSlider/9c8/6f1d74ccdc5e0d8153dbcbb49d147.webp,https://realting.com/property-for-sale/turkey/fsbo/1732620
"1 room studio apartment  in Pattaya, Thailand",Thailand,"Chon Buri Province, Pattaya, Thailand",2026.0,8.0,2.0,1.0,1.0,1.0,,25 m²,44700.0,https://realting.com/uploads/bigSlider/b50/f4bbb75591310bcd8fa4a68e2564e.webp,https://realting.com/property-for-sale/thailand/alza-real-estate/1754393
"Apartment 1 bathroom 74 m² in Ratisevina-Suscepan-Trebesin, Montenegro",Montenegro,"Ratisevina-Suscepan-Trebesin, Herceg Novi, Montenegro",,,,,,1.0,74 m²,,168881.0,https://realting.com/uploads/bigSlider/dd6/fa8ca136c5c1.webp,https://realting.com/property-for-sale/montenegro/red-feniks-montenegro/1333002
"1 room apartment 50 m² in Becici, Montenegro",Montenegro,"Becici, Sveti Stefan, Budva Municipality, Montenegro",,16.0,12.0,2.0,1.0,1.0,50 m²,,254404.0,https://realting.com/uploads/bigSlider/820/d3fabba126d2867aaba6a70a114d5.webp,https://realting.com/property-for-sale/montenegro/red-feniks-montenegro/1674799
